[Viseme] offset=0.0 ms, viseme_id=0
[Viseme] offset=7687.5 ms, viseme_id=19
[Viseme] offset=7750.0 ms, viseme_id=11
[Viseme] offset=7887.5 ms, viseme_id=19
[Viseme] offset=8074.5 ms, viseme_id=0
[Viseme] offset=8375.0 ms, viseme_id=0
[Viseme] offset=8412.5 ms, viseme_id=11
[Viseme] offset=8612.5 ms, viseme_id=20
[Viseme] offset=8675.0 ms, viseme_id=1
[Viseme] offset=8700.0 ms, viseme_id=19
[Viseme] offset=8787.5 ms, viseme_id=13
[Viseme] offset=8837.5 ms, viseme_id=4
[Viseme] offset=8887.5 ms, viseme_id=20
[Viseme] offset=8950.0 ms, viseme_id=1
[Viseme] offset=9000.0 ms, viseme_id=21
[Viseme] offset=9075.0 ms, viseme_id=4
[Viseme] offset=9225.0 ms, viseme_id=19
[Viseme] offset=9337.5 ms, viseme_id=19
[Viseme] offset=9412.0 ms, viseme_id=0
[Viseme] offset=9675.0 ms, viseme_id=20
[Viseme] offset=9775.0 ms, viseme_id=1
[Viseme] offset=9837.5 ms, viseme_id=15
[Viseme] offset=9925.0 ms, viseme_id=19
[Viseme] offset=9987.5 ms, viseme_id=1
[Viseme] offset=10012.5 ms, viseme_id=21
[Viseme] offset=10050.0 ms, viseme_id=11
[Viseme] offset=10300.0 ms, viseme_id=15
[Viseme] offset=10450.0 ms, viseme_id=0
[Viseme] offset=10462.5 ms, viseme_id=1
[Viseme] offset=10700.0 ms, viseme_id=19
[Viseme] offset=10825.0 ms, viseme_id=15
[Viseme] offset=10937.5 ms, viseme_id=21
[Viseme] offset=11000.0 ms, viseme_id=11
[Viseme] offset=11112.5 ms, viseme_id=15
[Viseme] offset=11200.0 ms, viseme_id=1
[Viseme] offset=11262.5 ms, viseme_id=21
[Viseme] offset=11312.5 ms, viseme_id=6
[Viseme] offset=11350.0 ms, viseme_id=3
[Viseme] offset=11375.0 ms, viseme_id=13
[Viseme] offset=11412.5 ms, viseme_id=21
[Viseme] offset=11462.5 ms, viseme_id=6
[Viseme] offset=11600.0 ms, viseme_id=14
[Viseme] offset=11837.0 ms, viseme_id=0
